name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Emily,8.625,3.225,0.965695,0.979398,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Emily,8.625,3.225,1.02294,1.04016,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,3.225,0.974919,0.995852,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,3.225,0.956891,0.995845,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Emily,8.625,0.403125,1.00846,1.04229,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Emily,8.625,0.403125,1.03783,1.04476,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,0.403125,0.967291,1.04783,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Emily,8.625,0.403125,0.991289,1.04005,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Emily,8.625,0,0.951131,1.01863,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
Emily,8.625,0,1.00982,0.977148,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,0,0.975189,1.00537,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,0,0.973463,1.03917,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Emily,8.625,0.80625,1.01499,1.02322,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Emily,8.625,0.80625,1.00483,0.953419,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,0,0
Emily,8.625,0.80625,0.982417,1.0435,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,0.80625,0.955953,0.955271,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
Emily,8.625,1.6125,0.991701,0.998868,8.625,7.0125,1,Stereo,Separated,Near,Oblique,0,0
Emily,8.625,1.6125,1.04755,0.96444,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Emily,8.625,1.6125,0.994395,0.973471,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,1.6125,0.97045,0.972192,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Emily,8.625,3.225,0.972862,1.04665,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Emily,8.625,3.225,0.976401,0.964727,5.4,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Emily,8.625,3.225,1.04033,1.00658,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,3.225,1.04168,1.00829,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Emily,8.625,0.403125,0.979751,1.04512,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Emily,8.625,0.403125,1.00181,1.02003,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Emily,8.625,0.403125,1.03379,0.963831,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,0.403125,1.00781,1.03958,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Emily,8.625,0,1.01582,0.986013,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
Emily,8.625,0,0.993618,0.963872,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,0,1.04756,0.979205,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Emily,8.625,0,0.973674,0.992219,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Emily,8.625,0.80625,0.970908,1.00382,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Emily,8.625,0.80625,1.04549,1.03968,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,0.80625,0.971714,1.00759,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
Emily,8.625,0.80625,1.04051,0.998348,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
Emily,8.625,1.6125,0.970465,0.985471,7.0125,8.625,0,Stereo,Separated,Near,Oblique,0,0
Emily,8.625,1.6125,1.01026,0.957004,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Emily,8.625,1.6125,0.983009,1.03644,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
